	channels1	channels2	kernel_size1	kernel_size2	fc1	fc2	is_max_pool	activation	avg	max	min
0	6	16	5	5	120	84	True	relu	98.16	99.74	96.83
1	6	16	5	5	120	84	False	relu	97.06	99.08	94.4
2	6	16	5	5	200	100	True	relu	98.29	99.82	96.33
3	6	16	5	5	200	100	False	relu	97.58	99.47	95.45
4	6	16	7	3	120	84	True	relu	98.12	99.03	96.83
5	6	16	7	3	120	84	False	relu	96.65	99.3	93.38
6	6	16	7	3	200	100	True	relu	97.26	99.82	91.27
7	6	16	7	3	200	100	False	relu	97.41	99.29	95.74
8	6	16	5	5	120	84	True	elu	98.01	99.74	95.59
9	6	16	5	5	120	84	False	elu	97.42	98.94	94.95
10	6	16	5	5	200	100	True	elu	98.53	99.3	97.98
11	6	16	5	5	200	100	False	elu	98.06	99.47	96.23
12	6	16	7	3	120	84	True	elu	98.25	99.29	94.75
13	6	16	7	3	120	84	False	elu	97.19	98.41	95.04
14	6	16	7	3	200	100	True	elu	98.21	99.08	95.64
15	6	16	7	3	200	100	False	elu	96.72	99.12	92.94
16	6	16	5	5	120	84	True	sigmoid	93.58	98.27	89.0
17	6	16	5	5	120	84	False	sigmoid	91.6	97.44	85.31
18	6	16	5	5	200	100	True	sigmoid	94.16	98.78	89.8
19	6	16	5	5	200	100	False	sigmoid	91.86	98.27	85.33
20	6	16	7	3	120	84	True	sigmoid	94.28	97.45	90.81
21	6	16	7	3	120	84	False	sigmoid	90.75	97.76	83.86
22	6	16	7	3	200	100	True	sigmoid	93.15	97.86	88.71
23	6	16	7	3	200	100	False	sigmoid	91.43	98.06	84.08
24	6	16	5	5	120	84	True	softsign	98.17	99.03	96.63
25	6	16	5	5	120	84	False	softsign	97.25	98.85	94.85
26	6	16	5	5	200	100	True	softsign	98.43	99.82	96.04
27	6	16	5	5	200	100	False	softsign	97.08	99.18	91.18
28	6	16	7	3	120	84	True	softsign	97.58	99.21	94.85
29	6	16	7	3	120	84	False	softsign	96.57	98.16	93.95
30	6	16	7	3	200	100	True	softsign	97.91	99.3	95.91
31	6	16	7	3	200	100	False	softsign	96.24	99.03	92.17
32	6	16	5	5	120	84	True	tanh	98.49	99.47	96.43
33	6	16	5	5	120	84	False	tanh	97.54	99.18	94.51
34	6	16	5	5	200	100	True	tanh	98.32	98.94	96.73
35	6	16	5	5	200	100	False	tanh	97.45	99.18	95.42
36	6	16	7	3	120	84	True	tanh	98.24	99.3	96.61
37	6	16	7	3	120	84	False	tanh	96.9	99.03	94.7
38	6	16	7	3	200	100	True	tanh	98.08	99.38	97.03
39	6	16	7	3	200	100	False	tanh	97.5	99.03	95.64
40	6	16	5	5	120	84	True	hardshrink	11.35	100.0	0.0
41	6	16	5	5	120	84	False	hardshrink	11.35	100.0	0.0
42	6	16	5	5	200	100	True	hardshrink	11.35	100.0	0.0
43	6	16	5	5	200	100	False	hardshrink	11.35	100.0	0.0
44	6	16	7	3	120	84	True	hardshrink	11.35	100.0	0.0
45	6	16	7	3	120	84	False	hardshrink	11.35	100.0	0.0
46	6	16	7	3	200	100	True	hardshrink	11.35	100.0	0.0
47	6	16	7	3	200	100	False	hardshrink	11.35	100.0	0.0
